megyeNev,telepulesNev,megyeKod,telepulesKod,szavkorSorszam,jeloloSzervezet,jeloltNev,szavazatSzam,szavazatAranySzavkorben
BUDAPEST,Budapest I. kerület,1,1,1, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,399,"56,92%"
BUDAPEST,Budapest I. kerület,1,1,1, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,278,"39,66%"
BUDAPEST,Budapest I. kerület,1,1,1, Független,JAKAB-NOVÁK ESZTER ,24,"3,42%"
BUDAPEST,Budapest I. kerület,1,1,2, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,361,"55,88%"
BUDAPEST,Budapest I. kerület,1,1,2, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,256,"39,63%"
BUDAPEST,Budapest I. kerület,1,1,2, Független,JAKAB-NOVÁK ESZTER ,29,"4,49%"
BUDAPEST,Budapest I. kerület,1,1,3, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,280,"53,95%"
BUDAPEST,Budapest I. kerület,1,1,3, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,209,"40,27%"
BUDAPEST,Budapest I. kerület,1,1,3, Független,JAKAB-NOVÁK ESZTER ,30,"5,78%"
BUDAPEST,Budapest I. kerület,1,1,4, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,334,"55,30%"
BUDAPEST,Budapest I. kerület,1,1,4, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,244,"40,40%"
BUDAPEST,Budapest I. kerület,1,1,4, Független,JAKAB-NOVÁK ESZTER ,26,"4,30%"
BUDAPEST,Budapest I. kerület,1,1,5, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,284,"48,38%"
BUDAPEST,Budapest I. kerület,1,1,5, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,283,"48,21%"
BUDAPEST,Budapest I. kerület,1,1,5, Független,JAKAB-NOVÁK ESZTER ,20,"3,41%"
BUDAPEST,Budapest I. kerület,1,1,6, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,333,"51,23%"
BUDAPEST,Budapest I. kerület,1,1,6, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,287,"44,15%"
BUDAPEST,Budapest I. kerület,1,1,6, Független,JAKAB-NOVÁK ESZTER ,30,"4,62%"
BUDAPEST,Budapest I. kerület,1,1,7, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,282,"48,12%"
BUDAPEST,Budapest I. kerület,1,1,7, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,282,"48,12%"
BUDAPEST,Budapest I. kerület,1,1,7, Független,JAKAB-NOVÁK ESZTER ,22,"3,75%"
BUDAPEST,Budapest I. kerület,1,1,8, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,307,"51,77%"
BUDAPEST,Budapest I. kerület,1,1,8, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,261,"44,01%"
BUDAPEST,Budapest I. kerület,1,1,8, Független,JAKAB-NOVÁK ESZTER ,25,"4,22%"
BUDAPEST,Budapest I. kerület,1,1,9, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,294,"48,36%"
BUDAPEST,Budapest I. kerület,1,1,9, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,284,"46,71%"
BUDAPEST,Budapest I. kerület,1,1,9, Független,JAKAB-NOVÁK ESZTER ,30,"4,93%"
BUDAPEST,Budapest I. kerület,1,1,10, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,321,"51,52%"
BUDAPEST,Budapest I. kerület,1,1,10, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,276,"44,30%"
BUDAPEST,Budapest I. kerület,1,1,10, Független,JAKAB-NOVÁK ESZTER ,26,"4,17%"
BUDAPEST,Budapest I. kerület,1,1,11, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,332,"51,96%"
BUDAPEST,Budapest I. kerület,1,1,11, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,274,"42,88%"
BUDAPEST,Budapest I. kerület,1,1,11, Független,JAKAB-NOVÁK ESZTER ,33,"5,16%"
BUDAPEST,Budapest I. kerület,1,1,12, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,317,"49,22%"
BUDAPEST,Budapest I. kerület,1,1,12, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,299,"46,43%"
BUDAPEST,Budapest I. kerület,1,1,12, Független,JAKAB-NOVÁK ESZTER ,28,"4,35%"
BUDAPEST,Budapest I. kerület,1,1,13, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,351,"49,23%"
BUDAPEST,Budapest I. kerület,1,1,13, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,333,"46,70%"
BUDAPEST,Budapest I. kerület,1,1,13, Független,JAKAB-NOVÁK ESZTER ,29,"4,07%"
BUDAPEST,Budapest I. kerület,1,1,14, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,360,"56,16%"
BUDAPEST,Budapest I. kerület,1,1,14, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,252,"39,31%"
BUDAPEST,Budapest I. kerület,1,1,14, Független,JAKAB-NOVÁK ESZTER ,29,"4,52%"
BUDAPEST,Budapest I. kerület,1,1,15, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,304,"49,35%"
BUDAPEST,Budapest I. kerület,1,1,15, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,273,"44,32%"
BUDAPEST,Budapest I. kerület,1,1,15, Független,JAKAB-NOVÁK ESZTER ,39,"6,33%"
BUDAPEST,Budapest I. kerület,1,1,16, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,316,"51,63%"
BUDAPEST,Budapest I. kerület,1,1,16, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,270,"44,12%"
BUDAPEST,Budapest I. kerület,1,1,16, Független,JAKAB-NOVÁK ESZTER ,26,"4,25%"
BUDAPEST,Budapest I. kerület,1,1,17, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,326,"49,02%"
BUDAPEST,Budapest I. kerület,1,1,17, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,306,"46,02%"
BUDAPEST,Budapest I. kerület,1,1,17, Független,JAKAB-NOVÁK ESZTER ,33,"4,96%"
BUDAPEST,Budapest I. kerület,1,1,18, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,323,"49,62%"
BUDAPEST,Budapest I. kerület,1,1,18, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,300,"46,08%"
BUDAPEST,Budapest I. kerület,1,1,18, Független,JAKAB-NOVÁK ESZTER ,28,"4,30%"
BUDAPEST,Budapest I. kerület,1,1,19, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,302,"51,98%"
BUDAPEST,Budapest I. kerület,1,1,19, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,254,"43,72%"
BUDAPEST,Budapest I. kerület,1,1,19, Független,JAKAB-NOVÁK ESZTER ,25,"4,30%"
BUDAPEST,Budapest I. kerület,1,1,20, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,VÁRADINÉ NASZÁLYI MÁRTA ,304,"51,35%"
BUDAPEST,Budapest I. kerület,1,1,20, FIDESZ-KDNP,DR. NAGY GÁBOR TAMÁS ,278,"46,96%"
BUDAPEST,Budapest I. kerület,1,1,20, Független,JAKAB-NOVÁK ESZTER ,10,"1,69%"
BUDAPEST,Budapest II. kerület,1,2,1, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,369,"54,91%"
BUDAPEST,Budapest II. kerület,1,2,1, FIDESZ-KDNP,DR. LÁNG ZSOLT ,303,"45,09%"
BUDAPEST,Budapest II. kerület,1,2,2, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,318,"53,18%"
BUDAPEST,Budapest II. kerület,1,2,2, FIDESZ-KDNP,DR. LÁNG ZSOLT ,280,"46,82%"
BUDAPEST,Budapest II. kerület,1,2,3, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,222,"55,22%"
